900.0000	1100.0000	250.0381	33.5949
865.6143	1060.0000	286.6116	33.0080
678.5870	1020.0000	492.6208	24.4447
450.8502	980.0000	791.7874	19.1888
275.6472	940.0000	1044.8549	17.6225
126.5884	900.0000	1261.5036	17.1083
-5.4915	860.0000	1447.6177	17.0503
-124.8651	820.0000	1607.5525	17.2369
-234.5156	780.0000	1747.4161	17.5480
-336.9141	740.0000	1873.3286	17.9052
-433.8602	700.0000	1989.1734	18.2687
-526.7415	660.0000	2095.3625	18.6347
-616.3413	620.0000	2190.9255	19.0105
-703.0145	580.0000	2275.6130	19.3957
-786.7842	540.0000	2350.0467	19.7823
-867.4786	500.0000	2415.4456	20.1576
-944.7314	460.0000	2472.6465	20.5125
-1018.1042	420.0000	2522.2623	20.8408
-1087.2217	380.0000	2564.4345	21.1408
-1151.7501	340.0000	2598.7048	21.4160
-1211.2713	300.0000	2624.1707	21.6765
-1265.2733	260.0000	2639.9267	21.9318
-1312.8110	220.0000	2644.7208	22.1943
-1352.0822	180.0000	2636.6099	22.4817
-1379.8452	140.0000	2612.0862	22.8250
-1390.2459	100.0000	2564.6426	23.2837
-1375.8631	60.0000	2486.0790	23.9417
-1334.7830	20.0000	2372.8506	24.8582
-1272.7886	-20.0000	2228.1308	26.0371
-1193.2507	-60.0000	2050.7773	27.5288
-1091.8109	-100.0000	1829.4570	29.5133
-952.8405	-140.0000	1537.4812	32.5388
-738.1731	-180.0000	1117.9215	38.2665
-334.8678	-220.0000	361.8042	54.7869
