base-foil-5
 1.0000000     0.0000000
 0.9763290     0.0092284
 0.9530329     0.0177197
 0.9301076     0.0255089
 0.9075494     0.0326313
 0.8853543     0.0391214
 0.8635186     0.0450136
 0.8420382     0.0503422
 0.8209094     0.0551410
 0.8001283     0.0594440
 0.7796909     0.0632847
 0.7595935     0.0666966
 0.7398322     0.0697131
 0.7204030     0.0723675
 0.7013022     0.0746931
 0.6825257     0.0767231
 0.6640699     0.0784905
 0.6459307     0.0800285
 0.6281044     0.0813704
 0.6105869     0.0825490
 0.5933744     0.0835979
 0.5764578     0.0845371
 0.5598236     0.0853684
 0.5434577     0.0860909
 0.5273464     0.0867038
 0.5114758     0.0872066
 0.4958319     0.0875984
 0.4804009     0.0878784
 0.4651688     0.0880459
 0.4501219     0.0881000
 0.4352462     0.0880398
 0.4205279     0.0878645
 0.4059529     0.0875731
 0.3915076     0.0871648
 0.3771779     0.0866387
 0.3629500     0.0859939
 0.3488101     0.0852296
 0.3347441     0.0843449
 0.3207383     0.0833391
 0.3067787     0.0822113
 0.2928582     0.0809617
 0.2789962     0.0795948
 0.2652191     0.0781163
 0.2515529     0.0765325
 0.2380240     0.0748491
 0.2246586     0.0730723
 0.2114828     0.0712080
 0.1985229     0.0692622
 0.1858052     0.0672409
 0.1733557     0.0651502
 0.1612008     0.0629961
 0.1493666     0.0607845
 0.1378795     0.0585216
 0.1267655     0.0562133
 0.1160509     0.0538656
 0.1057620     0.0514846
 0.0959249     0.0490763
 0.0865659     0.0466466
 0.0777112     0.0442017
 0.0693862     0.0417473
 0.0615982     0.0392886
 0.0543361     0.0368304
 0.0475884     0.0343778
 0.0413433     0.0319358
 0.0355889     0.0295095
 0.0303137     0.0271039
 0.0255059     0.0247241
 0.0211538     0.0223750
 0.0172456     0.0200616
 0.0137696     0.0177891
 0.0107141     0.0155622
 0.0080673     0.0133867
 0.0058176     0.0112656
 0.0039531     0.0092087
 0.0024623     0.0072101
 0.0013332     0.0052974
 0.0005543     0.0034360
 0.0001138     0.0016834
 0.0000000     0.0000000
 0.0001138    -0.0016834
 0.0005543    -0.0034360
 0.0013332    -0.0052974
 0.0024623    -0.0072101
 0.0039531    -0.0092087
 0.0058176    -0.0112656
 0.0080673    -0.0133867
 0.0107141    -0.0155622
 0.0137696    -0.0177891
 0.0172456    -0.0200616
 0.0211538    -0.0223750
 0.0255059    -0.0247241
 0.0303137    -0.0271039
 0.0355889    -0.0295095
 0.0413433    -0.0319358
 0.0475884    -0.0343778
 0.0543361    -0.0368304
 0.0615982    -0.0392886
 0.0693862    -0.0417473
 0.0777112    -0.0442017
 0.0865659    -0.0466466
 0.0959249    -0.0490763
 0.1057620    -0.0514846
 0.1160509    -0.0538656
 0.1267655    -0.0562133
 0.1378795    -0.0585216
 0.1493666    -0.0607845
 0.1612008    -0.0629961
 0.1733557    -0.0651502
 0.1858052    -0.0672409
 0.1985229    -0.0692622
 0.2114828    -0.0712080
 0.2246586    -0.0730723
 0.2380240    -0.0748491
 0.2515529    -0.0765325
 0.2652191    -0.0781163
 0.2789962    -0.0795948
 0.2928582    -0.0809617
 0.3067787    -0.0822113
 0.3207383    -0.0833391
 0.3347441    -0.0843449
 0.3488101    -0.0852296
 0.3629500    -0.0859939
 0.3771779    -0.0866387
 0.3915076    -0.0871648
 0.4059529    -0.0875731
 0.4205279    -0.0878645
 0.4352462    -0.0880398
 0.4501219    -0.0881000
 0.4651688    -0.0880459
 0.4804009    -0.0878784
 0.4958319    -0.0875984
 0.5114758    -0.0872066
 0.5273464    -0.0867038
 0.5434577    -0.0860909
 0.5598236    -0.0853684
 0.5764578    -0.0845371
 0.5933744    -0.0835979
 0.6105869    -0.0825490
 0.6281044    -0.0813704
 0.6459307    -0.0800285
 0.6640699    -0.0784905
 0.6825257    -0.0767231
 0.7013022    -0.0746931
 0.7204030    -0.0723675
 0.7398322    -0.0697131
 0.7595935    -0.0666966
 0.7796909    -0.0632847
 0.8001283    -0.0594440
 0.8209094    -0.0551410
 0.8420382    -0.0503422
 0.8635186    -0.0450136
 0.8853543    -0.0391214
 0.9075494    -0.0326313
 0.9301076    -0.0255089
 0.9530329    -0.0177197
 0.9763290    -0.0092284
 1.0000000     0.0000000
