Yokudo-1
 1.0000000     0.0000000
 0.9750282     0.0061564
 0.9507350     0.0116930
 0.9270923     0.0166457
 0.9040719     0.0210498
 0.8816458     0.0249399
 0.8597857     0.0283503
 0.8384635     0.0313147
 0.8176510     0.0338664
 0.7973202     0.0360385
 0.7774429     0.0378635
 0.7579909     0.0393741
 0.7389361     0.0406023
 0.7202503     0.0415803
 0.7019055     0.0423401
 0.6838734     0.0429135
 0.6661260     0.0433324
 0.6486350     0.0436287
 0.6313723     0.0438343
 0.6143099     0.0439811
 0.5974200     0.0441023
 0.5806867     0.0442202
 0.5641061     0.0443381
 0.5476744     0.0444529
 0.5313881     0.0445627
 0.5152436     0.0446652
 0.4992373     0.0447581
 0.4833655     0.0448393
 0.4676247     0.0449063
 0.4520113     0.0449571
 0.4365217     0.0449891
 0.4211522     0.0450000
 0.4058994     0.0449875
 0.3907595     0.0449491
 0.3757290     0.0448824
 0.3608042     0.0447848
 0.3459817     0.0446539
 0.3312577     0.0444872
 0.3166288     0.0442821
 0.3020912     0.0440362
 0.2876462     0.0437470
 0.2733141     0.0434129
 0.2591202     0.0430327
 0.2450896     0.0426052
 0.2312474     0.0421293
 0.2176189     0.0416036
 0.2042292     0.0410272
 0.1911035     0.0403988
 0.1782669     0.0397174
 0.1657447     0.0389818
 0.1535619     0.0381908
 0.1417439     0.0373435
 0.1303156     0.0364388
 0.1193024     0.0354756
 0.1087294     0.0344528
 0.0986217     0.0333695
 0.0890045     0.0322247
 0.0799030     0.0310173
 0.0713424     0.0297467
 0.0633470     0.0284116
 0.0559206     0.0270140
 0.0490469     0.0255610
 0.0427087     0.0240606
 0.0368885     0.0225206
 0.0315691     0.0209488
 0.0267333     0.0193533
 0.0223636     0.0177417
 0.0184430     0.0161220
 0.0149539     0.0145018
 0.0118792     0.0128892
 0.0092016     0.0112917
 0.0069038     0.0097178
 0.0049684     0.0081735
 0.0033782     0.0066709
 0.0021160     0.0052080
 0.0011643     0.0038131
 0.0005059     0.0024572
 0.0001236     0.0011993
 0.0000000     0.0000000
 0.0001236    -0.0011993
 0.0005059    -0.0024572
 0.0011643    -0.0038131
 0.0021160    -0.0052080
 0.0033782    -0.0066709
 0.0049684    -0.0081735
 0.0069038    -0.0097178
 0.0092016    -0.0112917
 0.0118792    -0.0128892
 0.0149539    -0.0145018
 0.0184430    -0.0161220
 0.0223636    -0.0177417
 0.0267333    -0.0193533
 0.0315691    -0.0209488
 0.0368885    -0.0225206
 0.0427087    -0.0240606
 0.0490469    -0.0255610
 0.0559206    -0.0270140
 0.0633470    -0.0284116
 0.0713424    -0.0297467
 0.0799030    -0.0310173
 0.0890045    -0.0322247
 0.0986217    -0.0333695
 0.1087294    -0.0344528
 0.1193024    -0.0354756
 0.1303156    -0.0364388
 0.1417439    -0.0373435
 0.1535619    -0.0381908
 0.1657447    -0.0389818
 0.1782669    -0.0397174
 0.1911035    -0.0403988
 0.2042292    -0.0410272
 0.2176189    -0.0416036
 0.2312474    -0.0421293
 0.2450896    -0.0426052
 0.2591202    -0.0430327
 0.2733141    -0.0434129
 0.2876462    -0.0437470
 0.3020912    -0.0440362
 0.3166288    -0.0442821
 0.3312577    -0.0444872
 0.3459817    -0.0446539
 0.3608042    -0.0447848
 0.3757290    -0.0448824
 0.3907595    -0.0449491
 0.4058994    -0.0449875
 0.4211522    -0.0450000
 0.4365217    -0.0449891
 0.4520113    -0.0449571
 0.4676247    -0.0449063
 0.4833655    -0.0448393
 0.4992373    -0.0447581
 0.5152436    -0.0446652
 0.5313881    -0.0445627
 0.5476744    -0.0444529
 0.5641061    -0.0443381
 0.5806867    -0.0442202
 0.5974200    -0.0441023
 0.6143099    -0.0439811
 0.6313723    -0.0438343
 0.6486350    -0.0436287
 0.6661260    -0.0433324
 0.6838734    -0.0429135
 0.7019055    -0.0423401
 0.7202503    -0.0415803
 0.7389361    -0.0406023
 0.7579909    -0.0393741
 0.7774429    -0.0378635
 0.7973202    -0.0360385
 0.8176510    -0.0338664
 0.8384635    -0.0313147
 0.8597857    -0.0283503
 0.8816458    -0.0249399
 0.9040719    -0.0210498
 0.9270923    -0.0166457
 0.9507350    -0.0116930
 0.9750282    -0.0061564
 1.0000000     0.0000000
